index,text
2484,"Поиск и привлечение клиентов, ведение клиентской базы, ведение отчетности, вемонстрация автомобилей, выдача автомобиля, продажа дополнительных услуг и оборудования, продажи в государственные органы, продажи новых автомобилей, продажи физическим лицам, продажи юридическим лицам, консультирование клиентов, оформление документации, проведение тест-драйвов, ведение переговоров, активные продажи, заключение договоров, работа с текущей базой клиентов, управление продажами, деловая переписка прямые продажи, проведение презентаций"
2485,"'- поиск объектов недвижимости- переговоры- презентация- согласование с управляющим комитетом- реализация- аналитика
- управление розничными продажами (киоски, автолавки, магазины).- руководство командой свыше 100 чел.- знание рынка труда, рекламы, ценообразования.- развитие, открытие новых ТТ, аукционы.- маркетинг.- аудит, аналитика, отчетность
- проектная деятельность (развитие, общепит).- руководство командой свыше 100 чел.- знание рынка труда, рекламы, ценообразования.- развитие, открытие новых ТТ, аукционы.- маркетинг.- аудит, аналитика, отчетность
- поиск объектов недвижимости (открытие,закрытие,релокация,ребрендинг)- переговоры- презентация- согласование с управляющим комитетом- реализация- аналитика"
2486,"Обработка первичной документации, сверка расчетов с контрагентами
Обработка первичной документации по нескольким предприятиям (УСНО, УСН), подготовка документов по реализации УПД, счетов-фактур.
Клиент-банк (выписки, платежные поручения, переписка с банком).
Учет расчетов с поставщиками и подрядчиками, с покупателями и заказчиками.
Сверка расчетов с контрагентами.
Контроль дебиторской, кредиторской задолженности"
2487,"Проведение проверочных мерроприятий на объектах капитального строительства
Проведение проверочных мерроприятий на объектах капитального строительства на соответствие объектов проектной документации
Руководство отделом, распределение задач между сотрудниками отдела.
Проведение проверочных мерроприятий на объектах капитального строительства, на соответствие объектов проектной документации
Осуществление технического надзора за зданиями и сооружениями
Настройка схем прекачки нефтипродуктов и контроль по принятию грузов с железнодорожных цистерн и отправке груза на танкера"
2488,"Свободная работа с компьютером
Подбор по каталогу запасных частей, работа с каталогом оригинальных запасных частей и сайтом заказа, консультирование клиентов, заказ и продажа з/ч, оформление расходных документов, контроль остатков на складе, отслеживание потребностей автосервиса в з/ч определённых категорий, отчетность о проделанной работе перед руководителем, участие в совершенствовании рабочих процессов и интернет-платформ
Складской учет, приём-хранение-выдача ТМЦ, комплектование ТМЦ по заказам от клиентов и менеджеров магазинов, проведение инвентаризаций, соблюдение и содержание чистоты складских помещений, погрузочно-разгрузочные работы
Подбор по каталогу запасных частей, консультирование клиентов, заказ и продажа з/ч, оформление расходных документов, контроль остатков на складе, отслеживание потребностей автосервиса в з/ч определённых категорий"
2489,"Работа связана с организацией и руководством деятельностью до 40 человек, организацией эксплуатации и проведения технического обслуживания, регламентных работ: электрохозяйства, теплохозяйства, газового хозяйства, парка машин, подготовкой имущественного фонда к осенне-зимнему и весенне-летнему периоду, организацией материально-технического обеспечения, обучением, адаптацией новых сотрудников, анализом основной деятельности, взаимодействием со службами жизнеобеспечения, администрацией, контролирующими и проверяющими органами"
2490,"Учёт ТМЦ, ведение склада, работа с поставщиками материалов- снабжение
Ведение первичной документации, ведение кассы, банковские выписки, сдача наличных в банк, работа с дебиторской/кредиторской задолженностью, акты сверки, замещение главного бухгалтера на время отпусков
Открытие организации с нуля, первичка, авансовый отчёты, налоговые декларации, сдача отчётов в налоговую и в фонды, расчёт и уплата налогов, расчёт и выплата заработной платы"
2491,"Аккуратность, внимательность, стрессоустойчивость, нацеленность на конечный результат любыми доступными способами, врожденный максимализм во всем и лидерские качества, если какое-либо дело меня заинтересовывает ухожу в него с головой.
Легко обучаюсь и ищу пути оптимизации рабочего процесса и производственных издержек.
Люблю открывать для себя что то новое и тем самым повышаю свои знания и навыки.
Готов работать в любой сфере деятельности, если условия и работа меня заинтересует.
Хочу работать в удовольствие, а не просиживать от звонка до звонка
Проведение выездных налоговых проверок юридических лиц.
Выполнение плана проверок.
Участие в судебных заседаниях.
Выезды в командировку в другие регионы для проведения проверок
Поиск новых клиентов и развитие текущих.
Контроль и уменьшение дебеторской задолженности
Прием и регистрация прибывшего транспорта в зону таможенного контроля, для последующего растаможивания.
Общение с таможенным органом, предоставление отчетности.
Общение с клиентами
Руководство складом временного хранения, привлечение новых клиентов, стимулирование текущих клиентов, управление и набор персонала (20 человек), модернизация и оптимизация рабочего процесса и текущих расходов."
2492,"Исполнительная,ответственная,дисциплинированная,доброжелательная,владею всеми профессиональными качествами медицинской сестры,пользователь ПК обычного уровня
Соблюдение сан-эпид.режима в отделении,выполнение врачебных назначений,уход за тяжелобольными,перевязки,постановка капельниц,инъекций,подготовка пациентов к диагностическим исследованиям
Помощь врачу на приеме,посещение пациентов на участке,проведение врачебных назначений,ведение документации
Выполнение диагностических мероприятий,назначенных врачом в отделении функциональной диагностики.
Подготовка диагностической аппаратуры к работе и контроль ее исправности.
Проводение функциональных диагностических исследований:Снятие, постановка ЭКГ| Постановка аппарата СМАД, Холтер| Снятие электроэнцефалограммы (ЭЭГ)| ФВД| Помощь доктору в проведении велоэргометрии"
2493,"родажа новых автомобилей, дополнительного оборудования к ним, оформление полного пакета документов.
консультирование клиентов по вопросам кредитования и страхования.
прокат автомобилей
заключение договоров с юридическими лицами, полное документальное сопровождение проводимых сделок, отслеживание дебиторской задолженности, оформление возвратов товара поставщикам, оформление возвратов покупателям, заказ необходимых покупателям товаров, отслеживание сборки интернет заказов, составление отчётов, привлечение новых покупателей по безналичному расчёту"
2494,"'- Работа в складской программе| - Учет, размещение и перемещение продукции в цифровой складской системе| - Участие в инвентаризации| - Введение товарно-транспортной документации,отчетность
- Работа в складской программе| - Учет, размещение и перемещение продукции в цифровой складской системе| - Участие в инвентаризации| - Введение товарно-транспортной документации,отчетность| - Руководство работой операторов ПК| - Обучение новых сотрудников| - Умение координировать действия операторов в сложных ситуациях"
2495,"Поиск и привлечение потенциальных клиентов на проведение медосмотров организациям, кадровое делопроизводство, бухгалтерия по УСНО
оказание методической помощи студентам, работой в программах, лабораторных работ, практических занятий, приготовление растворов
лабораторные работы, практические занятия, приготовление растворов, кураторство, работа в приемной комиссии
оптовые продажи строительных материалов ( п/э трубы, теплоизоляция )
классное руководство, предметы: физика, инженерная графика (1 семестр )
обслуживание физических и юридических лиц в офисе, кредитование, заключение договоров, продажи оборудования, гарантийное обслуживание
Преподаватель (химия, биология, естествознание)
закупки химического сырья, поиск потенциальных клиентов, расширение клиентской базы, логистика, документооборот на английском языке, контроль дебиторской задолженности, участие в выставках, тендерах"
2496,"Выполнение назначений врача: введение лекарственных средств в/в, в/м, п/к, забор крови из вены на анализы вакуумным методом, раздача таблетированных препаратов больным и об' яснение правильного их приёма.Ассистирование врачу при проведении различных манипуляций, выполнение перевозок.Приём и размещение поступивших больных.Уход и наблюдение за лежачими больными, ведение карт тяжелобольных, мониторинг, контроль суточного диуреза.Дезинфекция, очистка и отправка на стерилизацию использованного инструментария.Сбор и отправка на утилизацию отходов.Соблюдение правил лечебно-охранительного и сан т.-эпидем.
режима, этики и деонтологии в лечебных учреждениях.Проведение сан.-просвет.работы| беседы с больными на темы профилактики заболеваний, травм, пропоганда здорового образа жизни"
2497,"'- зона ответственности: г.
- переговоры с региональными, федеральными аптечными сетями - переговоры с сетями стоматологических клиник - командировки на еженедельной основе (до 70% рабочего времени) - создание собственной клиентской базы на территории ответственности.
- переговоры с первыми лицами компаний.
- соответствие стандартам представленности (DPSM) Работа с ключевыми клиентами в секторе В2В направления"
2498,"Владею программами: Word, Excel, AutoCAD, Paint
-работа с проектами, КМД, техкартами, ППР.
Оформление заказов, заявок на приобретениематериала.
Оформление схем для ППР в программе AutoCAD.,-отслеживание процесса монтажа и оформление исполнительно сдаточной документации вэлектронном виде по монтажу технологических трубопроводов, оборудования и металлоконструкции
Оформление схем для ППР в программе AutoCAD.,-отслеживание процесса монтажа и оформление исполнительно сдаточной документации вэлектронном виде по монтажу технологических трубопроводов, оборудования и металлоконструкций.Формирование комплекта исполнительно сдаточной документации и передача заказчику
Оформление журналов
Оформление ППР, тех.карт, сварочных формуляров, исполнительной документации, списание материалов"
2499,"воспитание о ибучение детей дошкольного возраста
ведение методической работы
- календарное планирование работы отдела на год, контроль исполнения служебных поручений во взаимосвязи со структурными подразделениями| - подготовка отчетности отдела| - ведение документооборота и номенклатуры дел отдела| - согласование и заключение договоров с предприятиями-индустриальными партнерами| - составление смет на командировки, организация маршрутного листа командировок (логистика)| - организация команд для участия в ивентах различных уровней| - ведение переговоров с индустриальными партнерами, в т.ч.
на уровне исполнительного директора| - сопровождение делегаций и организация экскурсий на предприятия реального сектора экономики| - подбор кадров для предприятий-индустриальных партнеров"
2500,"Прием заявок от торговых представителей, поступление и реализация товара, ведение номенклатуры, ценообразование, ежеквартальная сверка с покупателями и поставщиками, формирование заказов и отчетов для поставщиков.
|
Работа с первичными документами (поступление и реализация товара, оприходование и списание материалов, выпуск готовой продукции, авансовые отчеты, касса, акты сверок).
Работа с первичными документами
Работа с первичными документами.
Поступление и реализация товара, касса, оформление платежных поручений, разнесение банковских выписок, сверка с контрагентами, контроль дебиторской задолженности.
Прием и обработка заявок, подготовка отгрузочных и сопроводительных документов, проведение возвратов от покупателей, складское движение товара (перемещение, списание, оприходование), выгрузка алкодеклараций для покупателей.
Работа с клиентской базой, поиск новых поставщиков и покупателей, заключение договоров.
Ведение первичной документации (оприходование товара, поступление и списание материалов, авансовые отчеты, кассовые операции).
Проверка товарных отчетов, участие в инвентаризации.
Прием заявок от покупателей, выставление счетов на оплату, выписка товарных накладных, прием и комплектация товара на складе."
2501,"Умение работать с большим количеством информации
Ведение собственной клиентской базы на всех этапах сделки: от поступления заявки - до контроля дебиторской задолжности.
Работа в автоматизированной системе.
Успешное Участие в торгах по 223- ФЗ и 44- ФЗ.
Работа с ключивыми клиентами компании, привлечение новых клиентов
Успешное Участие в торгах по 223- ФЗ и 44- ФЗ
Организация грузоперевозок автомобильным транмпоротом"
2502,"Уверенный пользователь ПК, знание офисных программ, -интернет, электронная почта, опыт организации мероприятий| умение работать с офисной техникой| умение грамотно организовать работу
Функциональные обязанности: диагностика транспортных средств, проверка и своевременный выпуск на линию автотранспорта, составление маршрутов, оформление путевых листов, контроль расхода ГСМ, контроль ремонта транспортных средств, выезд на место поломки автотранспортных средств, устранение неисправностей.
Ведение отчетности, подготовка и прохождение ежегодного технического осмотра, ведение технической документации.
Заключение договоров на поставку автозапчастей, контроль ремонтной службы.
Контроль работы водителей, проведение инструктажей по безопасности дорожного движения и охране труда, учет рабочего времени.
Работа с устройствами ""ПЛАТОН"", ""ГЛОНАСС"" Участие в подборе водителей на работу"
2503,"работа с клиентской базой, поиск и привлечение новых клиентов| проведение переговоров с ведущими лицами компаний| заключение договоров о поставке продукции| полный цикл документального сопровождения сделок| ведение переговоров с иностранными контрагентами| мониторинг тендеров и госзаказов с целью вовлечения компании в выгодные проекты
создание и ведение управленческого учета предприятия, проектного расчета затрат| анализ финансово-экономической текущей деятельности."
2504,"Грамотная речь, желание учиться новому, умение быстро налаживать с людьми отношения
Проведение и подготовка уроков согласно планированию Подготовка учащихся к ОГЭ ЕГЭ по русскому языку и литературе Проведение классных часов по различным темам Заполнение журналов и ведение отчетной документации Написание ежегодных отчетов Выполнение обязанностей классного руководителя (родительские собрания, посещение учащихся на дому, работа со службой сопровождения (социальным педагогом, школьным психологом, библиотекарем))
Составление тематических планирований для проведения уроков как теоретического, так и практического курса занятий.
Работа с неопубликованными документами Работа в специальных программах Работа с другими отделами библиотеки (правовым,методическим, техническим, отделом искусств, отделом иностранной литературы)"
2505,"Составление плана диагностических процедур и лечебных манипуляций.
Ведение пациентов в условиях дневного стационара.
Проведение паравертебральных блокад, мягких миофасциальных техник (постизометрическая релаксация).
Проф осмотры.
Заполнение медицинской документации
Курация пациентов неврологического профиля, обучение, участие в научных конферециях
Полная занятость.
Исполняла обязанности зав.
н\о.
Принимала участие в составлении плана госпитализации, работе комиссии по госпитализации.
Оказывала помощь в рамках амбулаторно-поликлинической практики и дневного стационара.
заболеваниями психо-неврологического профиля.
Составление плана дополнительных обследований и интерпретация.
Назначение необходимых выдов медикаментозного и реабилитационного лечения.
Ведение медицинской документации"
2506,"Знаю программы мониторинга светофорных объектов, так же сами программы светофорных объектов
Занимался проверкой работоспособности и настройкой адаптивных светофоров с выездом на объект и подключением к нему через ноутбук.
Так же велся мониторинг работы удаленно через рабочий компьютер.
Анализировал технические задания для светофорных объектов с целью корректировки времен"
2507,"ответственность
Проводит осмотры технического состояния обслуживаемого оборудования, электросетей.
Осуществляет постоянный надзор за работающим электрооборудованием.
Содержит электрооборудование в исправном состоянии.
Принимает меры к немедленному устранению причин и условий, которые могут вызвать простой, аварию или иной ущерб.
Соблюдает и выполняет требования правил, норм и других нормативных документов по охране труда, пожарной, электро - и техно-генной безопасности, промсанитарии и трудовому законодательству"
2508,"Стрессоустойчивый.
Умею работать в системе многозадачности.
Коммуникабельный, настойчивый.
Четкое понимание задач и работа на результат.
Умение руководить коллективом, с точной постановкой и мотивацией на выполнение поставленных нормативов
Работа с проблемным портфелем.
Софт
Охрана объектов
Мероприятия направленные на розыск должников и установление контакта.
Проведение переговоров с заемщиками с целью взыскания задолженности.
По необходимости замещал и выполнял обязанности регионального менеджера (ведение отчетности за подразделение, мониторинг и выездные мероприятия, контроль поставленных задач специалистов подразделения)
Консультирование клиентов по продукции или услугам| работа с существующей клиентской базой| поиск новых клиентов (презентация товаров или услуг, заключение договоров)| ведение отчетности по выполняемой работе"
2509,"Уверенный пользователь ПК.
1.
Маркетинговые исследования рынка прачечного оборудования.2.
Ответы на технические запросы, подбор оборудования и аналогов по запросам.3.
Составление коммерческих предложений.4.
Поиск тендеров на специализированных сайтах (еженедельно).5.
Осуществление почтовой рассылки по представленным базам данных.6.
Проверка, распечатка почты каждый день и ответы на запросы с электронного ящика.7.
Учет и заказ расходных материалов и канцтоваров отдела.8.
Выдача свидетельств дилерам.Работа с дилерами.12.
Контролировала сроки сбора документов.14.
Ведение табельного учета.15.
Организация Круглого стола
Нормирование технологических процессов.2.
Обсчет и заполнение расчётно-платежной документации.3.
Помощь в расчёте и начислении заработной платы.4.
Ведение табельного учета.5.
Выписка отпускных.6.
Проверка сменно-суточного задания по подразделению.7.
Запчасти.8.
Наряды.9.
Авансы.10.Выполнение расчетов на компьютере с использованием стандартных пакетов программного обеспечения"
2510,"13.Наложение аппаратов наружной фиксации на конечности, таз.14.Репозиция костных отломков в аппарате наружной фиксации.15.Накостный металоостеосинтез.16.Интрамедулярный остеосинтез.17.Трепанация черепа.18.Артроскопические операции на коленном сустав
Функциональные обязанности:1.Прием и оказание помощи экстренным и плановым пациентам.2.Оперативное и консервативное лечение.3.Курация пациентов.4.Ведение медицинской документации.5.Проведения экспертизы временной нетрудоспособности и подготовка документов для медико-социальной экспертизы
1.Прием и оказание помощи экстренным и плановым пациентам.2.Оперативное и консервативное лечение.3.Курация пациентов.4.Ведение медицинской документации.5.Проведения экспертизы временной нетрудоспособности и подготовка документов для медико-социальной экспертизы"
2511,"Лидерство, нацеленность на результат, работоспособность, оптимизм, способность руководить, способность управлять собой, предприимчивость, работа в режиме многозадачности
Организация и контроль работы предприятия, организация текущего оперативного и стратегического планирования, разработка и оценка плановых показателей прибыльности, ликвидности и устойчивости, нормирование затрат, определение финансовых потоков, разработка и контроль схем оптимизации налогообложения, поиск и привлечение клиентов, разработка маркетинговой стратегии.
консолидация отчетности, контроль и нормирование затрат, анализ финансово-хозяйственной деятельности, определение финансовых потоков, контроль схем оптимизации налогообложения, ведение управленческого учета, разработка управленческой учетной политики, организация и контроль финансово-экономической работы на подведомственных отделах (организация унифицированной системы бюджетирования и контроля на подведомственных отделах, контроль схем оптимизации налогообложения подведомственных отделов, внедрение унифицированных методов калькулирования, себестоимости, разработка и контроль нормативов затрат)
Подготовка исходных данных и выдача ТУ для проектирования и строительства линейных сооружений связи.
Участие в приемке объектов по завершению строительства, реконструкции и капитального строительства.
Выполнение нарядов по предоставлению доступа к сети связи.
Выполнение предписаний контролирующих органов.
Надзор за работой сторонних организаций в охранной зоне линий связи в целях предупреждения повреждений.
Осуществлять оперативно-техническое руководство и контроль, за работниками цеха.
Работа по письмам и жалобам абонентов.
Ведение учета рабочего времени работников цеха"
2512,"Аналитический склад ума, повышенная работоспособность, грамотность, стремление к профессиональному росту, владение специальными бухгалтерскими программами
Составления отчетности всех видов| Соблюдения сроков представления отчетности| Своевременное перечисление всех необходимых платежей
1.
В едение документооборота компании.
Составления отчетности всех видов| Соблюдения сроков представления отчетности| Своевременное перечисление всех необходимых платежей.
Кадровое делопроизводство.
Участие в тендорных торгах
1.Учет всех финансовых операций в соответствии с общими принципами бухгалтерского учета, под руководством главного бухгалтера| 2.Проверка правильности оформления и ведения документов и записей, касающихся платежей и других финансовых операций.
3.Подготовка финансовой документации и отчетности на определенный срок| 4.Применение знаний принципов и практики бухгалтерского учета с целью выявления и решения проблем, возникающих в процессе их работы| 5.Выполнение бухгалтерских и связанных с ними расчетов на компьютере с использованием стандартных пакетов программного обеспечения"
2513,"Владение компьютером на уровне опытного пользователяOutlook,Word, Excel,программа 1C7| 1С8 торговля, склад.Отличные коммуникативные навыки, клиентоориентированность.Целеустремленность, ответственность, стрессоустойчивость
Закупка строительных материалов, транспортная логистика, заключение договоров с поставщиками
Продавец-Администратор-МенеджерОбеспечение эффективной работы торговых точек.Организована единая база контрагентов, введены новые виды услуг для покупателей.Стимулирование потребительского спроса, путем предложения дополнительных услуг.Контроль за работой администраторов и продавцов магазинов.Распределение товаров по торговым точкам на основании данных о продажах.Анализ отчетов по оборачиваемости товара.Рассмотрение и разрешение конфликтных ситуаций.Заключены новые договора с поставщиками.
Увеличены объемы продаж на 10%.Работа с рекламацией товара"
2514,"сбор информации.
Специалист собирает и анализирует информацию о конъюнктуре рыночного сегмента, в котором работает компания его работодателя.
Регулярному анализу подвергается спрос и предложение, цены, информация о конкурентах и т.
д.| планирование.
Сюда входит формирование стратегии продвижения группы товаров на территории, закрепленной за торговым представителем, и тактическое планирование - какие точки посетить, какие товары и в каких именно количествах в них надо продать| самообучение.
В ходе работы торгпред постоянно изучает ассортимент продукции, которую он предлагает в торговых точках, совершенствует навыки коммуникации с клиентами, изучает правила демонстрации продукции, ее хранения и эксплуатации| ведение клиентской базы.
Специалист записывает и хранит адреса торговых точек, фиксирует деловую надежность и платежеспособность клиентов, объемы продаж и закупок, ведет статистику по ключевым показателям.
Без этого работа сильно сложнее| поиск новых точек.
Работа торгпреда не ограничивается посещением старых точек продаж| работа с документами.
К ним относятся сертификаты на продукцию, маршрутные листы и прайс-листы, бланки задач, ведомости и анкеты.
В ряде случаев торгпред может выполнять функции мерчандайзера.
Он принимает участие в выкладке товаров на торговой точке таким образом, чтобы они моментально бросались в глаза покупателю - это положительно влияет на продажи"
2515,"Знание техники безопасности и инструкций по охране труда| Опыт выполнения внутренних и внешних отделочных работ| Знание свойств материалов, специфики работы вспомогательного оборудования| Навыки работы с электроинструментом| Навыки составления сметной документации| Опыт руководства строительной бригадой до 30 человек| Умение оценить проект с технической и экономической сторон| Навыки формирование строительной бригады| Умение работать в команде| Навыки организации и управления на всех стадиях строительного производства|
Отделочные работы"
